"Energy [MeV]","Nb protons [/MeV]"
1.622999999999999998e-01,1.561295403533591889e+05
1.622999999999999998e-01,1.583350576203606615e+05
1.622999999999999998e-01,1.605730089648180583e+05
1.622999999999999998e-01,1.628352858673673763e+05
1.622999999999999998e-01,1.651381053667365923e+05
1.622999999999999998e-01,1.674652504241977294e+05
1.622999999999999998e-01,1.698329380784787354e+05
1.622999999999999998e-01,1.722249512908516626e+05
1.622999999999999998e-01,1.746575071000444877e+05
1.622999999999999998e-01,1.771224969866932079e+05
1.622999999999999998e-01,1.796280294701618259e+05
1.622999999999999998e-01,1.821578875117223652e+05
1.622999999999999998e-01,1.847282881501027732e+05
1.622999999999999998e-01,1.873392313853030500e+05
1.622999999999999998e-01,1.899826086979592510e+05
1.622999999999999998e-01,1.926665286074353498e+05
1.622999999999999998e-01,1.953828825943673146e+05
1.622999999999999998e-01,1.981397791781191772e+05
1.622999999999999998e-01,2.009372183586909377e+05
1.622999999999999998e-01,2.037752001360825379e+05
1.622999999999999998e-01,2.066537245102940651e+05
1.622999999999999998e-01,2.095727914813254320e+05
1.622999999999999998e-01,2.125324010491766967e+05
1.622999999999999998e-01,2.155325532138478593e+05
1.622999999999999998e-01,2.185732479753388616e+05
1.622999999999999998e-01,2.216544853336497908e+05
1.633999999999999897e-01,2.254482907991898246e+05
1.633999999999999897e-01,2.286362184376460209e+05
1.633999999999999897e-01,2.318648084184294567e+05
1.633999999999999897e-01,2.351340607415401319e+05
1.633999999999999897e-01,2.384521078754435002e+05
1.633999999999999897e-01,2.418189498201395909e+05
1.633999999999999897e-01,2.452345865756283456e+05
1.633999999999999897e-01,2.486990181419098226e+05
1.633999999999999897e-01,2.522041120505185390e+05
1.633999999999999897e-01,2.557661332383854024e+05
1.633999999999999897e-01,2.593769492370449589e+05
1.633999999999999897e-01,2.630365600464972085e+05
1.633999999999999897e-01,2.667530981352076051e+05
1.633999999999999897e-01,2.705184310347107239e+05
1.633999999999999897e-01,2.743325587450065068e+05
1.633999999999999897e-01,2.782117462030259194e+05
1.633999999999999897e-01,2.821397284718379960e+05
1.633999999999999897e-01,2.861165055514427950e+05
1.633999999999999897e-01,2.901583423787711654e+05
1.633999999999999897e-01,2.942571064853576827e+05
1.633999999999999897e-01,2.984046654027369223e+05
1.633999999999999897e-01,3.026172840678397333e+05
1.633999999999999897e-01,3.068949624806661159e+05
1.633999999999999897e-01,3.112214357042852207e+05
1.633999999999999897e-01,3.156211011440933798e+05
1.633999999999999897e-01,3.200695613946942613e+05
1.633999999999999897e-01,3.245912138614841388e+05
1.633999999999999897e-01,3.291697936075322214e+05
1.633999999999999897e-01,3.338215655697693001e+05
1.633999999999999897e-01,3.385302648112645256e+05
1.633999999999999897e-01,3.433121562689488055e+05
1.633999999999999897e-01,3.481591074743566569e+05
1.633999999999999897e-01,3.530711184274881380e+05
1.633999999999999897e-01,3.580563215968086733e+05
1.633999999999999897e-01,3.631147169823182048e+05
1.633999999999999897e-01,3.682381721155513660e+05
1.633999999999999897e-01,3.734348194649735815e+05
1.633999999999999897e-01,3.787046590305848513e+05
1.633999999999999897e-01,3.840558232808506000e+05
1.633999999999999897e-01,3.894720472788399202e+05
1.633999999999999897e-01,3.949695959614837775e+05
1.633999999999999897e-01,4.005484693287820555e+05
1.633999999999999897e-01,4.062005349122694461e+05
1.633999999999999897e-01,4.119339251804113155e+05
1.633999999999999897e-01,4.177567726016731467e+05
1.633999999999999897e-01,4.236528122391239740e+05
1.633999999999999897e-01,4.296301765612293384e+05
1.633999999999999897e-01,4.356969980364546063e+05
1.633999999999999897e-01,4.418451441963344114e+05
1.633999999999999897e-01,4.480827475093341200e+05
1.633999999999999897e-01,4.544098079754538485e+05
1.633999999999999897e-01,4.608263255946934223e+05
1.633999999999999897e-01,4.673323003670530161e+05
1.633999999999999897e-01,4.739277322925325134e+05
1.633999999999999897e-01,4.806126213711319724e+05
1.633999999999999897e-01,4.874032325397822424e+05
1.633999999999999897e-01,4.942833008615525323e+05
1.633999999999999897e-01,5.012609588049081503e+05
1.633999999999999897e-01,5.083362063698491547e+05
1.633999999999999897e-01,5.155090435563756037e+05
1.633999999999999897e-01,5.227876028329528635e+05
1.633999999999999897e-01,5.301718841995809926e+05
1.633999999999999897e-01,5.376537551877944497e+05
1.633999999999999897e-01,5.452413482660588343e+05
1.633999999999999897e-01,5.529427959028393961e+05
1.633999999999999897e-01,5.607418331612055190e+05
1.643999999999999906e-01,5.701862477528452873e+05
1.643999999999999906e-01,5.782344969703220995e+05
1.655000000000000082e-01,5.881213912324147532e+05
1.655000000000000082e-01,5.964222994423476048e+05
1.655000000000000082e-01,6.048377029379346641e+05
1.655000000000000082e-01,6.133839581885552034e+05
1.655000000000000082e-01,6.220365304901403142e+05
1.655000000000000082e-01,6.308199545467589051e+05
1.655000000000000082e-01,6.397260521237213397e+05
1.655000000000000082e-01,6.487548232210276183e+05
1.655000000000000082e-01,6.579144460733673768e+05
1.665000000000000091e-01,6.689845865329571534e+05
1.665000000000000091e-01,6.784228427762852516e+05
1.665000000000000091e-01,6.880004998503141105e+05
1.665000000000000091e-01,6.977175577550436137e+05
1.665000000000000091e-01,7.075658164416092914e+05
1.665000000000000091e-01,7.175534759588756133e+05
1.665000000000000091e-01,7.276805363068428123e+05
1.665000000000000091e-01,7.379551975343753584e+05
1.665000000000000091e-01,7.483692595926087815e+05
1.665000000000000091e-01,7.589391225792724872e+05
1.665000000000000091e-01,7.696483863966368372e+05
1.665000000000000091e-01,7.805134511424315860e+05
1.665000000000000091e-01,7.915343168166565010e+05
1.665000000000000091e-01,8.027027833704469958e+05
1.665000000000000091e-01,8.140352509015324758e+05
1.665000000000000091e-01,8.254989192144540139e+05
1.675000000000000100e-01,8.393713556389242876e+05
1.675000000000000100e-01,8.512930763331787894e+05
1.675000000000000100e-01,8.632970157908418914e+05
1.675000000000000100e-01,8.754653927753224270e+05
1.675000000000000100e-01,8.877982072866201634e+05
1.675000000000000100e-01,9.003776780881438171e+05
1.675000000000000100e-01,9.130393676530761877e+05
1.675000000000000100e-01,9.259477135082344757e+05
1.675000000000000100e-01,9.390204968902100809e+05
1.675000000000000100e-01,9.522577177990030032e+05
1.675000000000000100e-01,9.657415949980218429e+05
1.675000000000000100e-01,9.793899097238579998e+05
1.675000000000000100e-01,9.932026619765114738e+05
1.675000000000000100e-01,1.007179851755982265e+06
1.675000000000000100e-01,1.021403697825678973e+06
1.675000000000000100e-01,1.035874200185601716e+06
1.675000000000000100e-01,1.050426921308933059e+06
1.685999999999999999e-01,1.068421504063057015e+06
1.685999999999999999e-01,1.083511504467744846e+06
1.685999999999999999e-01,1.098766422909642337e+06
1.685999999999999999e-01,1.114268718407354318e+06
1.685999999999999999e-01,1.130018390960881021e+06
1.685999999999999999e-01,1.146015440570221981e+06
1.685999999999999999e-01,1.162177408216772834e+06
1.685999999999999999e-01,1.178586752919138176e+06
1.685999999999999999e-01,1.195161015658713412e+06
1.685999999999999999e-01,1.212065114472707966e+06
1.685999999999999999e-01,1.229216590342517011e+06
1.685999999999999999e-01,1.246532984249535715e+06
1.685999999999999999e-01,1.264096755212368909e+06
1.685999999999999999e-01,1.281990362249621656e+06
1.685999999999999999e-01,1.300048887324084062e+06
1.685999999999999999e-01,1.318437248472966021e+06
1.696000000000000008e-01,1.340616811618735548e+06
1.696000000000000008e-01,1.359467297776556807e+06
1.696000000000000008e-01,1.378731171788716223e+06
1.696000000000000008e-01,1.398160400942610810e+06
1.696000000000000008e-01,1.417920340379976202e+06
1.696000000000000008e-01,1.437928312529944349e+06
1.696000000000000008e-01,1.458184317392515484e+06
1.696000000000000008e-01,1.478771032538556959e+06
1.696000000000000008e-01,1.499688457968069240e+06
1.696000000000000008e-01,1.520853916110184276e+06
1.696000000000000008e-01,1.542267406964902300e+06
1.696000000000000008e-01,1.564094285673958482e+06
1.696000000000000008e-01,1.586169197095617652e+06
1.696000000000000008e-01,1.608574818800747395e+06
1.696000000000000008e-01,1.631228473218479892e+06
1.696000000000000008e-01,1.654295515490550548e+06
1.696000000000000008e-01,1.677610590475224191e+06
1.706999999999999906e-01,1.706289278379516210e+06
1.706999999999999906e-01,1.730335536068798974e+06
1.706999999999999906e-01,1.754796384407897014e+06
