"Energy [MeV]","Nb protons [/MeV/sr]"
0.1749,1.2378e8
0.1749,1.2553e8
0.1749,1.273e8
0.1749,1.291e8
0.1749,1.3092e8
0.1749,1.3277e8
0.1749,1.3464e8
0.1749,1.3654e8
0.1749,1.3847e8
0.1749,1.4042e8
0.1749,1.4241e8
0.1749,1.4442e8
0.1749,1.4645e8
0.1749,1.4852e8
0.1749,1.5062e8
0.1749,1.5274e8
0.1749,1.549e8
0.1749,1.5709e8
0.1749,1.5931e8
0.1749,1.6155e8
0.1749,1.6383e8
0.1749,1.6615e8
0.1749,1.6849e8
0.1749,1.7087e8
0.1749,1.7328e8
0.1749,1.7573e8
0.1749,1.7821e8
0.1749,1.8073e8
0.1749,1.8328e8
0.1749,1.8586e8
0.1749,1.8849e8
0.1749,1.9115e8
0.1749,1.9385e8
0.1749,1.9658e8
0.1749,1.9936e8
0.1749,2.0217e8
0.1749,2.0503e8
0.1749,2.0792e8
0.1749,2.1086e8
0.1749,2.1383e8
0.1749,2.1685e8
0.1749,2.1991e8
0.1749,2.2302e8
0.1749,2.2617e8
0.1749,2.2936e8
0.1749,2.326e8
0.1749,2.3588e8
0.1749,2.3921e8
0.1749,2.4259e8
0.1749,2.4601e8
0.1749,2.4948e8
0.1749,2.5301e8
0.1749,2.5658e8
0.1749,2.602e8
0.1749,2.6387e8
0.1749,2.676e8
0.1749,2.7137e8
0.1749,2.7521e8
0.1749,2.7909e8
0.1749,2.8303e8
0.1749,2.8703e8
0.1749,2.9108e8
0.1749,2.9519e8
0.1749,2.9935e8
0.1749,3.0358e8
0.1749,3.0787e8
0.1749,3.1221e8
0.1749,3.1662e8
0.1749,3.2109e8
0.1749,3.2562e8
0.1749,3.3022e8
0.1749,3.3488e8
0.1749,3.3961e8
0.1749,3.444e8
0.1749,3.4926e8
0.1749,3.5419e8
0.1749,3.5919e8
0.1749,3.6426e8
0.1749,3.6941e8
0.1749,3.7462e8
0.1749,3.7991e8
0.1749,3.8527e8
0.1749,3.9071e8
0.1749,3.9623e8
0.1749,4.0182e8
0.1749,4.0749e8
0.1749,4.1324e8
0.1749,4.1908e8
0.1749,4.2499e8
